configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Fusion-LSTM with derivatives,20,3,42,3,0.6195580293297518,0.9211087420042644,0.2302771855010661,0.25,0.2397336293007769,0.8832829668054212
Fusion-LSTM with derivatives,20,3,43,7,0.5680490283596191,0.8336886993603412,0.253485987696514,0.2533831908831909,0.2528254580520733,0.8463709281118857
Fusion-LSTM with derivatives,20,3,44,6,0.5807444993055092,0.582089552238806,0.23780487804878048,0.1579861111111111,0.1898470097357441,0.6994789612438503
Fusion-LSTM with derivatives,20,3,45,2,0.6463573436941991,0.47761194029850745,0.23829787234042554,0.12962962962962962,0.1679160419790105,0.6186757367584865
Fusion-LSTM with derivatives,20,3,46,2,0.5379934443367852,0.03837953091684435,0.25595238095238093,0.25405092592592593,0.019600572124807966,0.030465657319468997
Fusion-LSTM with derivatives,20,3,47,3,0.575289415488453,0.673773987206823,0.23723723723723725,0.18287037037037038,0.2065359477124183,0.7609682679041766
Fusion-LSTM with derivatives,20,3,48,2,0.5463016098150417,0.8955223880597015,0.22975929978118162,0.24305555555555555,0.23622047244094488,0.870338968822927
Fusion-LSTM with derivatives,20,3,49,3,0.5886544896371709,0.8933901918976546,0.2302197802197802,0.24247685185185186,0.23618940248027057,0.8702244935733636
Fusion-LSTM with derivatives,20,3,50,2,0.6834365321280321,0.4989339019189765,0.23780487804878048,0.13541666666666666,0.17256637168141592,0.6358095741268374
Fusion-LSTM with derivatives,20,3,51,2,0.5409084654704079,0.9211087420042644,0.2302771855010661,0.25,0.2397336293007769,0.8832829668054212
Fusion-LSTM with derivatives,20,4,42,6,0.5613972244616324,0.9141193595342066,0.6983208525345622,0.690449375304362,0.6937905407625813,0.9227365051449491
Fusion-LSTM with derivatives,20,4,43,3,0.5239914668805944,0.8369723435225619,0.7003921599497139,0.6455932690395549,0.665661439435636,0.8747847652953632
Fusion-LSTM with derivatives,20,4,44,3,0.5449065987169118,0.7540029112081513,0.7073160233086844,0.5955254286121406,0.6244489138160572,0.8090991385557713
Fusion-LSTM with derivatives,20,4,45,4,0.5256215786908908,0.9112081513828238,0.7073583828463808,0.6958098651647039,0.6970137872944097,0.9243231486219062
Fusion-LSTM with derivatives,20,4,46,5,0.49369920037327575,0.9082969432314411,0.6984986917035869,0.692310974569039,0.6915270072951772,0.9179539002032606
Fusion-LSTM with derivatives,20,4,47,2,0.567316214618443,0.8005822416302766,0.7016044919617412,0.6233942213891903,0.6489131536303037,0.8482752558303746
